File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
./winget-cli/src/AppInstallerCLICore/Command.cpp,31,21,4,4,shell,ShellExecute,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"                    ShellExecute(NULL, NULL, Runtime::GetPathTo(Runtime::PathName::DefaultLogLocation).wstring().c_str(), NULL, NULL, SW_SHOWNORMAL);",dd36eacd4feebea4874dbfd2dd2ed5205c7cbcb5432faad69acdcb72d4f01ef9,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
./winget-cli/src/AppInstallerCLICore/Commands/RootCommand.cpp,251,13,4,4,shell,ShellExecute,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"            ShellExecute(NULL, NULL, Runtime::GetPathTo(Runtime::PathName::DefaultLogLocation).wstring().c_str(), NULL, NULL, SW_SHOWNORMAL);",dd36eacd4feebea4874dbfd2dd2ed5205c7cbcb5432faad69acdcb72d4f01ef9,2.0.19,FF1043,https://cwe.mitre.org/data/definitions/78.html
./winget-cli/src/AppInstallerCLITests/ManifestComparator.cpp,871,30,4,4,shell,system,This causes a new program to execute and is difficult to use safely (CWE-78).,try using a library call that implements the same functionality if available.,,CWE-78,"    RequireInstaller(result, system);",bd9c2a3b12fc3edf50594d6f1e8a21dc257f9fd24120a2295f3084bd4a57569c,2.0.19,FF1044,https://cwe.mitre.org/data/definitions/78.html
./winget-cli/src/AppInstallerRepositoryCore/Microsoft/ARPHelper.cpp,170,21,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                    access |= KEY_WOW64_32KEY;,d2b0a73fbedfa6758e3955a0c49f34699d132fada89f7577d1824e2a090fa545,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./winget-cli/src/AppInstallerRepositoryCore/Microsoft/ARPHelper.cpp,175,17,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                access |= KEY_WOW64_64KEY;,0e35a26c886d23c164546ab3a61992d070dc0ee1bf1bc8afb13506d175b14dc3,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./winget-cli/src/AppInstallerRepositoryCore/Microsoft/ARPHelper.cpp,198,21,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                    access |= KEY_WOW64_32KEY;,d2b0a73fbedfa6758e3955a0c49f34699d132fada89f7577d1824e2a090fa545,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./winget-cli/src/AppInstallerRepositoryCore/Microsoft/ARPHelper.cpp,204,17,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,                access |= KEY_WOW64_64KEY;,0e35a26c886d23c164546ab3a61992d070dc0ee1bf1bc8afb13506d175b14dc3,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./winget-cli/src/AppInstallerRepositoryCore/Microsoft/ARPHelper.cpp,213,72,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"            return Registry::Key::OpenIfExists(rootKey, SubKeyPath, 0, access);",bc79bd80a461b68ba7d5f258e87868777c36d14c9c202eecdc1cca9c92dcb6a5,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./winget-cli/src/AppInstallerSharedLib/Public/winget/Registry.h,231,59,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"            SubKeyRef(const wil::shared_hkey& key, REGSAM access);",260a2a1b42005b2c33e6afb29f88ad5015ed6b9f78e12f1daea7d41bb3a4e14b,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
./winget-cli/src/AppInstallerSharedLib/Public/winget/Registry.h,259,64,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"            const_iterator(const wil::shared_hkey& key, REGSAM access);",313ff4cb035a82089113b11696df27e0f50ec33fc65b6c70d9b10b253af0ddfc,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
